Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	r_await	w_await	svctm	%util
sda	0	0	93	0	2480	0	53.33	0.26	2.84	2.84	0	1.76	16.4
sda	0	0	133	0	3792	0	57.02	0.45	3.4	3.4	0	1.98	26.4
sda	0	5	107	2	2992	28	55.41	0.83	7.56	7.21	26	3.05	33.2
sda	0	0	89	0	2944	0	66.16	0.38	4.31	4.31	0	2.02	18
sda	0	0	109	0	3408	0	62.53	0.55	5.03	5.03	0	2.53	27.6
sda	0	0	65	0	1520	0	46.77	0.19	2.89	2.89	0	1.72	11.2
sda	0	0	79	0	2608	0	66.03	0.27	3.44	3.44	0	1.92	15.2
sda	0	2	102	2	3472	16	67.08	0.4	3.81	3.61	14	2.31	24
sda	0	0	104	0	3760	0	72.31	0.35	3.38	3.38	0	1.58	16.4
sda	0	0	64	0	1936	0	60.5	0.2	2.88	2.88	0	1.62	10.4
sda	0	0	66	0	1680	0	50.91	0.22	3.45	3.45	0	2.12	14
sda	0	0	70	0	2000	0	57.14	0.18	2.57	2.57	0	1.77	12.4
sda	0	2	98	2	3392	16	68.16	0.31	3.04	2.82	14	2.12	21.2
sda	0	0	63	0	1904	0	60.44	0.17	2.79	2.79	0	1.97	12.4
sda	0	0	73	8	2048	48	51.75	0.37	4.59	4.22	8	2.42	19.6
sda	0	0	77	0	2064	0	53.61	0.35	4.57	4.57	0	2.75	21.2
sda	0	0	32	0	832	0	52	0.1	3.12	3.12	0	2.62	8.4
sda	7	9	93	2	2544	44	54.48	1.26	13.31	13.33	12	2.53	24
sda	0	0	46	0	1680	0	73.04	0.32	6.87	6.87	0	3.22	14.8
sda	0	0	55	0	1648	0	59.93	0.12	2.11	2.11	0	1.38	7.6
sda	0	0	67	0	2352	0	70.21	0.14	2.15	2.15	0	1.55	10.4
sda	0	0	137	0	4000	0	58.39	0.96	6.98	6.98	0	2.54	34.8
sda	0	2	210	2	5440	16	51.47	1.01	4.77	4.51	32	2.02	42.8
sda	0	0	191	0	5680	0	59.48	1.14	5.95	5.95	0	2.22	42.4
sda	0	0	160	0	4528	0	56.6	0.63	3.92	3.92	0	2.1	33.6
sda	0	0	105	0	3920	0	74.67	0.28	2.63	2.63	0	1.6	16.8
sda	0	0	165	0	4688	0	56.82	0.66	4.02	4.02	0	1.99	32.8
sda	0	0	162	0	4624	0	57.09	0.77	4.77	4.77	0	2.05	33.2
sda	0	2	144	2	4192	16	57.64	0.6	4.05	3.94	12	2.05	30
sda	0	0	101	0	3024	0	59.88	0.22	2.22	2.22	0	1.58	16
sda	0	0	102	0	3024	0	59.29	0.41	4.08	4.08	0	2.04	20.8
sda	0	0	113	0	3680	0	65.13	0.6	5.27	5.27	0	2.19	24.8
sda	0	0	100	0	2976	0	59.52	0.33	3.28	3.28	0	1.64	16.4
sda	0	2	100	2	3312	16	65.25	0.51	4.98	4.8	14	2.86	29.2
sda	0	0	96	0	3056	0	63.67	0.34	3.58	3.58	0	2.25	21.6
sda	0	0	95	0	2848	0	59.96	0.34	3.37	3.37	0	2.15	20.4
sda	0	0	61	0	2208	0	72.39	0.39	6.62	6.62	0	3.41	20.8
sda	0	3	101	3	2900	28	56.31	0.43	4.15	4.04	8	2.5	26
sda	0	0	80	0	2352	0	58.8	0.28	3.45	3.45	0	1.8	14.4
sda	0	0	79	0	2512	0	63.59	0.2	2.48	2.48	0	1.82	14.4
sda	0	0	100	0	2720	0	54.4	0.59	5.84	5.84	0	2.76	27.6
sda	0	0	97	0	3088	0	63.67	0.46	4.87	4.87	0	2.19	21.2
sda	0	3	68	2	2272	20	65.49	0.52	7.37	6.71	30	3.71	26
sda	0	0	70	0	2144	0	61.26	0.36	5.14	5.14	0	1.94	13.6
sda	0	0	63	1	1792	20	56.62	0.17	2.62	2.67	0	1.75	11.2
sda	0	0	82	0	2144	0	52.29	0.26	3.22	3.22	0	2.34	19.2
sda	0	0	69	0	2128	0	61.68	0.36	5.22	5.22	0	2.84	19.6
sda	0	3	69	2	2512	20	71.32	0.38	5.3	5.04	14	2.82	20
sda	0	0	69	0	1904	0	55.19	0.34	4.87	4.87	0	2.55	17.6
sda	0	0	80	11	2992	56	66.99	0.37	4.09	4.65	0	2.07	18.8
sda	0	0	67	0	1840	0	54.93	0.19	2.81	2.81	0	2.09	14
sda	0	0	60	0	1792	0	59.73	0.2	3.27	3.27	0	2.27	13.6
sda	0	7	75	2	2512	36	66.18	0.46	5.97	5.81	12	3.22	24.8
sda	0	0	93	0	3040	0	65.38	0.22	2.37	2.37	0	1.55	14.4
sda	0	0	127	0	3664	0	57.7	0.39	3.06	3.06	0	1.95	24.8
sda	0	0	238	0	6128	0	51.5	1.58	6.62	6.62	0	2.5	59.6
sda	0	0	186	0	5408	0	58.15	0.92	4.97	4.97	0	2	37.2
sda	0	2	211	2	5728	16	53.93	1.88	8.79	8.74	14	2.59	55.2
sda	0	0	170	0	4416	0	51.95	1.23	7.08	7.08	0	2.56	43.6
