Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	r_await	w_await	svctm	%util
sda	0.00	0.00	74.00	0.00	2080.00	0.00	56.22	0.34	4.59	4.59	0.00	2.43	18.00
sda	0.00	0.00	68.00	0.00	2192.00	0.00	64.47	0.27	3.94	3.94	0.00	2.24	15.20
sda	0.00	2.00	77.00	2.00	2384.00	16.00	60.76	0.33	4.00	3.74	14.00	2.38	18.80
sda	0.00	0.00	56.00	0.00	2032.00	0.00	72.57	0.20	3.86	3.86	0.00	2.36	13.20
sda	0.00	0.00	78.00	1.00	2384.00	20.00	60.86	0.16	1.97	2.00	0.00	1.06	8.40
sda	0.00	0.00	64.00	0.00	1696.00	0.00	53.00	0.27	4.25	4.25	0.00	2.69	17.20
sda	0.00	0.00	64.00	0.00	1952.00	0.00	61.00	0.20	3.12	3.12	0.00	2.12	13.60
sda	0.00	3.00	86.00	2.00	2432.00	20.00	55.73	0.23	2.64	2.42	12.00	1.77	15.60
sda	0.00	0.00	59.00	0.00	2016.00	0.00	68.34	0.17	2.92	2.92	0.00	1.76	10.40
sda	0.00	0.00	62.00	0.00	2096.00	0.00	67.61	0.33	5.35	5.35	0.00	2.58	16.00
sda	0.00	0.00	61.00	0.00	2080.00	0.00	68.20	0.42	6.82	6.82	0.00	2.30	14.00
sda	0.00	0.00	55.00	0.00	1984.00	0.00	72.15	0.12	2.18	2.18	0.00	1.67	9.20
sda	0.00	3.00	46.00	2.00	1152.00	20.00	48.83	0.14	2.92	2.61	10.00	2.00	9.60
sda	0.00	0.00	177.00	0.00	5840.00	0.00	65.99	1.05	5.92	5.92	0.00	2.31	40.80
sda	0.00	2.00	200.00	10.00	5600.00	60.00	53.90	0.94	4.48	4.70	0.00	2.13	44.80
sda	0.00	0.00	199.00	0.00	6064.00	0.00	60.94	1.20	6.01	6.01	0.00	2.27	45.20
sda	0.00	0.00	131.00	0.00	4016.00	0.00	61.31	0.56	4.31	4.31	0.00	2.38	31.20
sda	0.00	4.00	141.00	2.00	4064.00	24.00	57.17	0.79	5.45	5.33	14.00	2.38	34.00
sda	0.00	0.00	122.00	0.00	3936.00	0.00	64.52	0.77	6.33	6.33	0.00	2.89	35.20
sda	0.00	0.00	171.00	0.00	4608.00	0.00	53.89	0.94	5.54	5.54	0.00	1.85	31.60
sda	0.00	0.00	98.00	0.00	2428.00	0.00	49.55	0.45	4.61	4.61	0.00	2.65	26.00
sda	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
